Muestra,Tratamiento,Expresion
C1_001,Control,Baja
C1_002,Control,Alta
C1_003,Control,Baja
C1_004,Control,Baja
C1_005,Control,Alta
C1_006,Control,Baja
C1_007,Control,Baja
C1_008,Control,Baja
C1_009,Control,Alta
C1_010,Control,Baja
C1_011,Control,Alta
C1_012,Control,Baja
C1_013,Control,Baja
C1_014,Control,Baja
C1_015,Control,Baja
C1_016,Control,Baja
C1_017,Control,Alta
C1_018,Control,Baja
C1_019,Control,Alta
C1_020,Control,Baja
C1_021,Control,Alta
C1_022,Control,Alta
C1_023,Control,Alta
C1_024,Control,Baja
C1_025,Control,Alta
C1_026,Control,Baja
C1_027,Control,Baja
C1_028,Control,Baja
C1_029,Control,Baja
C1_030,Control,Alta
C1_031,Control,Alta
C1_032,Control,Baja
C1_033,Control,Alta
C1_034,Control,Baja
C1_035,Control,Baja
C1_036,Control,Alta
C1_037,Control,Alta
C1_038,Control,Alta
C1_039,Control,Baja
C1_040,Control,Baja
C1_041,Inductor_A,Alta
C1_042,Inductor_A,Alta
C1_043,Inductor_A,Alta
C1_044,Inductor_A,Baja
C1_045,Inductor_A,Alta
C1_046,Inductor_A,Alta
C1_047,Inductor_A,Alta
C1_048,Inductor_A,Alta
C1_049,Inductor_A,Alta
C1_050,Inductor_A,Alta
C1_051,Inductor_A,Baja
C1_052,Inductor_A,Baja
C1_053,Inductor_A,Baja
C1_054,Inductor_A,Alta
C1_055,Inductor_A,Alta
C1_056,Inductor_A,Baja
C1_057,Inductor_A,Alta
C1_058,Inductor_A,Alta
C1_059,Inductor_A,Baja
C1_060,Inductor_A,Alta
C1_061,Inductor_A,Alta
C1_062,Inductor_A,Alta
C1_063,Inductor_A,Alta
C1_064,Inductor_A,Baja
C1_065,Inductor_A,Alta
C1_066,Inductor_A,Alta
C1_067,Inductor_A,Alta
C1_068,Inductor_A,Alta
C1_069,Inductor_A,Baja
C1_070,Inductor_A,Baja
C1_071,Inductor_A,Baja
C1_072,Inductor_A,Baja
C1_073,Inductor_A,Alta
C1_074,Inductor_A,Alta
C1_075,Inductor_A,Alta
C1_076,Inductor_A,Alta
C1_077,Inductor_A,Baja
C1_078,Inductor_A,Alta
C1_079,Inductor_A,Alta
C1_080,Inductor_A,Alta
C1_081,Inductor_B,Alta
C1_082,Inductor_B,Baja
C1_083,Inductor_B,Alta
C1_084,Inductor_B,Baja
C1_085,Inductor_B,Alta
C1_086,Inductor_B,Alta
C1_087,Inductor_B,Alta
C1_088,Inductor_B,Alta
C1_089,Inductor_B,Alta
C1_090,Inductor_B,Alta
C1_091,Inductor_B,Alta
C1_092,Inductor_B,Alta
C1_093,Inductor_B,Alta
C1_094,Inductor_B,Alta
C1_095,Inductor_B,Baja
C1_096,Inductor_B,Alta
C1_097,Inductor_B,Alta
C1_098,Inductor_B,Alta
C1_099,Inductor_B,Baja
C1_100,Inductor_B,Alta
C1_101,Inductor_B,Alta
C1_102,Inductor_B,Alta
C1_103,Inductor_B,Baja
C1_104,Inductor_B,Baja
C1_105,Inductor_B,Alta
C1_106,Inductor_B,Alta
C1_107,Inductor_B,Alta
C1_108,Inductor_B,Alta
C1_109,Inductor_B,Alta
C1_110,Inductor_B,Alta
C1_111,Inductor_B,Alta
C1_112,Inductor_B,Alta
C1_113,Inductor_B,Alta
C1_114,Inductor_B,Alta
C1_115,Inductor_B,Baja
C1_116,Inductor_B,Alta
C1_117,Inductor_B,Baja
C1_118,Inductor_B,Alta
C1_119,Inductor_B,Alta
C1_120,Inductor_B,Alta
