Biorreactor,Antes,Despues
BR_01,No,No
BR_02,No,No
BR_03,No,No
BR_04,Si,Si
BR_05,Si,No
BR_06,No,Si
BR_07,Si,Si
BR_08,No,No
BR_09,No,No
BR_10,No,No
BR_11,No,No
BR_12,Si,No
BR_13,No,Si
BR_14,Si,No
BR_15,Si,Si
BR_16,Si,No
BR_17,Si,No
BR_18,Si,Si
BR_19,No,No
BR_20,Si,Si
BR_21,No,No
BR_22,No,No
BR_23,Si,Si
BR_24,Si,No
BR_25,No,No
BR_26,No,Si
BR_27,No,No
BR_28,No,No
BR_29,No,No
BR_30,Si,No
BR_31,Si,No
BR_32,Si,No
BR_33,Si,No
BR_34,Si,No
BR_35,No,No
BR_36,Si,Si
BR_37,No,No
BR_38,No,No
BR_39,Si,Si
BR_40,Si,No
