Muestra,Genotipo,Respuesta
C4_001,WT,Sensible
C4_002,WT,Sensible
C4_003,WT,Sensible
C4_004,WT,Sensible
C4_005,WT,Intermedia
C4_006,WT,Sensible
C4_007,WT,Sensible
C4_008,WT,Sensible
C4_009,WT,Sensible
C4_010,WT,Sensible
C4_011,WT,Sensible
C4_012,WT,Intermedia
C4_013,WT,Resistente
C4_014,WT,Intermedia
C4_015,WT,Sensible
C4_016,WT,Sensible
C4_017,WT,Sensible
C4_018,WT,Sensible
C4_019,WT,Resistente
C4_020,WT,Sensible
C4_021,WT,Intermedia
C4_022,WT,Sensible
C4_023,WT,Sensible
C4_024,WT,Sensible
C4_025,WT,Resistente
C4_026,WT,Intermedia
C4_027,WT,Intermedia
C4_028,WT,Sensible
C4_029,WT,Resistente
C4_030,WT,Intermedia
C4_031,WT,Intermedia
C4_032,WT,Sensible
C4_033,WT,Sensible
C4_034,WT,Intermedia
C4_035,WT,Resistente
C4_036,WT,Intermedia
C4_037,WT,Sensible
C4_038,WT,Sensible
C4_039,WT,Sensible
C4_040,WT,Resistente
C4_041,MutA,Intermedia
C4_042,MutA,Resistente
C4_043,MutA,Intermedia
C4_044,MutA,Intermedia
C4_045,MutA,Resistente
C4_046,MutA,Intermedia
C4_047,MutA,Resistente
C4_048,MutA,Sensible
C4_049,MutA,Resistente
C4_050,MutA,Sensible
C4_051,MutA,Intermedia
C4_052,MutA,Sensible
C4_053,MutA,Intermedia
C4_054,MutA,Resistente
C4_055,MutA,Sensible
C4_056,MutA,Sensible
C4_057,MutA,Intermedia
C4_058,MutA,Sensible
C4_059,MutA,Sensible
C4_060,MutA,Intermedia
C4_061,MutA,Resistente
C4_062,MutA,Intermedia
C4_063,MutA,Sensible
C4_064,MutA,Intermedia
C4_065,MutA,Resistente
C4_066,MutA,Resistente
C4_067,MutA,Intermedia
C4_068,MutA,Sensible
C4_069,MutA,Resistente
C4_070,MutA,Sensible
C4_071,MutA,Intermedia
C4_072,MutA,Sensible
C4_073,MutA,Resistente
C4_074,MutA,Resistente
C4_075,MutA,Intermedia
C4_076,MutA,Resistente
C4_077,MutA,Resistente
C4_078,MutA,Intermedia
C4_079,MutA,Intermedia
C4_080,MutA,Resistente
C4_081,MutB,Resistente
C4_082,MutB,Sensible
C4_083,MutB,Resistente
C4_084,MutB,Resistente
C4_085,MutB,Resistente
C4_086,MutB,Resistente
C4_087,MutB,Resistente
C4_088,MutB,Resistente
C4_089,MutB,Resistente
C4_090,MutB,Resistente
C4_091,MutB,Resistente
C4_092,MutB,Resistente
C4_093,MutB,Resistente
C4_094,MutB,Intermedia
C4_095,MutB,Intermedia
C4_096,MutB,Resistente
C4_097,MutB,Resistente
C4_098,MutB,Resistente
C4_099,MutB,Resistente
C4_100,MutB,Resistente
C4_101,MutB,Resistente
C4_102,MutB,Sensible
C4_103,MutB,Resistente
C4_104,MutB,Resistente
C4_105,MutB,Intermedia
C4_106,MutB,Resistente
C4_107,MutB,Intermedia
C4_108,MutB,Intermedia
C4_109,MutB,Intermedia
C4_110,MutB,Sensible
C4_111,MutB,Sensible
C4_112,MutB,Intermedia
C4_113,MutB,Intermedia
C4_114,MutB,Resistente
C4_115,MutB,Sensible
C4_116,MutB,Intermedia
C4_117,MutB,Sensible
C4_118,MutB,Intermedia
C4_119,MutB,Resistente
C4_120,MutB,Intermedia
