Explante,Pretratamiento,Regeneracion
C5_01,Con_enzima,No_regenera
C5_02,Con_enzima,No_regenera
C5_03,Con_enzima,No_regenera
C5_04,Con_enzima,Regenera
C5_05,Con_enzima,No_regenera
C5_06,Con_enzima,Regenera
C5_07,Con_enzima,Regenera
C5_08,Con_enzima,Regenera
C5_09,Con_enzima,Regenera
C5_10,Con_enzima,No_regenera
C5_11,Con_enzima,Regenera
C5_12,Con_enzima,Regenera
C5_13,Sin_enzima,No_regenera
C5_14,Sin_enzima,Regenera
C5_15,Sin_enzima,Regenera
C5_16,Sin_enzima,Regenera
C5_17,Sin_enzima,Regenera
C5_18,Sin_enzima,No_regenera
C5_19,Sin_enzima,No_regenera
C5_20,Sin_enzima,Regenera
C5_21,Sin_enzima,No_regenera
C5_22,Sin_enzima,Regenera
C5_23,Sin_enzima,No_regenera
C5_24,Sin_enzima,No_regenera
